Timestamp,How comfortable are you with d3 now?,Why do you want to learn d3?,Have you used any of the following technologies?,Have you used any of the following libraries?,What kind of projects do you want to use d3 for?,Are you comfortable with for loops?,What is your favorite tool for data visualization so far?,Which feature of d3 get you most excited?,Which formats would you be interested in paying for to learn d3?,Do you remember trigonometry?,Does the word gestalt mean anything to you?,What city are you in?
3/6/2015 18:02:21,"selectAll("".answers"").enter()","For fun, For work","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel, Tableau, R, Python","jQuery, React.js, pandas, ggplot2","Web application interface, Business intelligence, Infographic",i++,code,data binding,"on-line course (6-8 weeks), 1 day in person workshop, multi-day in person workshop, 1 day online workshop, 1:1 tutoring",SOHCAHTOA!,Principles!,
3/6/2015 18:47:36,"selectAll("".answers"").enter()","For fun, For work","JavaScript, HTML, CSS, Excel, Matlab, Python","jQuery, Processing, Backbone.js","Web application interface, News articles, Business intelligence, Scientific explanation",i++,code,transitions,,SOHCAHTOA!,Principles!,
3/6/2015 18:56:37,"selectAll("".answers"").enter()",To express myself,"JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel, Matlab, R, Python","jQuery, Processing, React.js, Backbone.js, pandas, ggplot2","Portfolio site, Web application interface, Business intelligence, Scientific explanation",i++,code,layouts,unsure,SOHCAHTOA!,Principles!,
3/6/2015 18:57:00,Someone told me I should learn it...,For work,"JavaScript, HTML, CSS, Sketch App","jQuery, React.js, Backbone.js","Web application interface, Infographic",i++,pen & paper,no idea,,its a sinh!,Principles!,
3/6/2015 18:57:58,I looked at some examples!,"For fun, For work","JavaScript, HTML, CSS, Excel, Tableau, R, Python",jQuery,"Business intelligence, Infographic",i++,Tableau,data binding,"on-line course (6-8 weeks), 1 day in person workshop, multi-day in person workshop",SOHCAHTOA!,Principles!,
3/6/2015 18:58:11,I looked at some examples!,"For fun, For work","JavaScript, HTML, CSS, Sketch App, Excel, Tableau, Python","jQuery, React.js, Backbone.js","Web application interface, Business intelligence",i++,excel,data binding,"on-line course (6-8 weeks), 1 day online workshop",something about angles right?,Principles!,
3/6/2015 18:58:18,"selectAll("".answers"").enter()","For fun, For work, To express myself","JavaScript, HTML, CSS, Python",jQuery,Web application interface,i++,code,transitions,"1 day in person workshop, multi-day in person workshop",SOHCAHTOA!,Nope,
3/6/2015 18:58:40,I've forked a bl.ock or two,"For fun, For work, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel",jQuery,"Web application interface, Business intelligence, Scientific explanation, Infographic",i++,pen & paper,reusable charts,1:1 tutoring,,Principles!,
3/6/2015 18:59:05,I've forked a bl.ock or two,"For fun, For work","JavaScript, HTML, CSS, Excel, Python","jQuery, AngularJS, Backbone.js","Portfolio site, Business intelligence, Scientific explanation",i++,pen & paper,transitions,"on-line course (6-8 weeks), 1 day online workshop",its a sinh!,Nope,
3/6/2015 18:59:41,"selectAll("".answers"").enter()","For fun, For work","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Python","jQuery, Processing, AngularJS","Web application interface, Infographic",i++,code,data binding,"on-line course (6-8 weeks), 1 day in person workshop, multi-day in person workshop",who's that?,Nope,
3/6/2015 18:59:43,I've forked a bl.ock or two,"For fun, For work, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel, Tableau, R","jQuery, Backbone.js","News articles, Business intelligence, Scientific explanation",i++,pen & paper,data binding,"1 day in person workshop, 1:1 tutoring",its a sinh!,Principles!,
3/6/2015 19:00:08,I looked at some examples!,"For fun, For work, To express myself","JavaScript, HTML, CSS, Excel, Matlab, R, Python","jQuery, pandas","Web application interface, Business intelligence, Scientific explanation, Infographic",i++,code,no idea,Sorry I learn by doing,something about angles right?,Principles!,
3/6/2015 19:00:37,I looked at some examples!,For work,"JavaScript, HTML, CSS, Matlab, R, Python","jQuery, AngularJS, React.js, Ember.js, Backbone.js",Web application interface,i++,gnuplot,reusable charts,on-line course (6-8 weeks),its a sinh!,,
3/6/2015 19:00:57,I've forked a bl.ock or two,"For fun, For work","JavaScript, HTML, CSS, Sketch App, Python","jQuery, React.js","Web application interface, Scientific explanation, visualization",i++,"raw javascript, etc.",,,its a sinh!,Principles!,
3/6/2015 19:01:19,Someone told me I should learn it...,"For fun, For work","JavaScript, HTML, CSS, Sketch App, Excel","jQuery, AngularJS, Backbone.js","Web application interface, Business intelligence",i++,excel,behaviors,"on-line course (6-8 weeks), 1 day in person workshop, 1 day online workshop",something about angles right?,Principles!,
3/6/2015 19:02:08,Someone told me I should learn it...,"For fun, For work, To express myself","JavaScript, HTML, CSS, Excel, Tableau, R, Python","jQuery, pandas, ggplot2","Web application interface, Business intelligence",i++,Tableau,no idea,"1 day in person workshop, multi-day in person workshop, 1:1 tutoring",something about angles right?,Principles!,
3/6/2015 19:02:57,"selectAll("".answers"").enter()",To express myself,"JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel, Matlab, R, Python","jQuery, Processing, AngularJS, React.js, Ember.js, ggplot2","Portfolio site, Web application interface, News articles, Business intelligence, Scientific explanation, Infographic",i++,pen & paper,The community ,I'd like to teach,its a sinh!,Principles!,
