Timestamp,How comfortable are you with d3 now?,Why do you want to learn d3?,Have you used any of the following technologies?,What kind of projects do you want to use d3 for?,Are you comfortable with for loops?,Do you remember trigonometry?,Does the word gestalt mean anything to you?,What is your favorite tool for data visualization so far?,Have you used any of the following libraries?,Which feature of d3 get you most excited?,Which formats would you be interested in paying for to learn d3?,What city are you in?
3/9/2015 11:08:14,"selectAll("".answers"").enter()","For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Excel, R, Python","Portfolio site, Web application interface, Business intelligence, Explorable explanations",i++,SOHCAHTOA!,Principles!,code,"Processing, React.js",data binding,,Baltimore
3/9/2015 11:44:47,I've forked a bl.ock or two,To get a job,"JavaScript, HTML, CSS, Excel, Python","Portfolio site, Web application interface, Business intelligence, Infographic",i++,SOHCAHTOA!,Nope,excel,"jQuery, AngularJS",data binding,"on-line course (6-8 weeks), 1 day online workshop",Philadelphia
3/9/2015 11:46:15,I've forked a bl.ock or two,"For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Sketch App, Excel, Tableau, Matlab, R, Python","Portfolio site, Web application interface, Business intelligence, Infographic",i++,SOHCAHTOA!,Principles!,code,"jQuery, AngularJS, Ember.js, ggplot2",reusable charts,,
3/9/2015 11:57:39,Someone told me I should learn it...,"For school, To get a job","HTML, Excel, Tableau, R",Business intelligence,i++,its a sinh!,Nope,ggplot2,ggplot2,no idea,on-line course (6-8 weeks),Chicago
3/9/2015 13:38:09,"selectAll("".answers"").enter()","For fun, For work","JavaScript, HTML, CSS, Adobe Illustrator, Excel, Python","Portfolio site, News articles, Infographic",i++,something about angles right?,Nope,code,"jQuery, AngularJS, React.js",transitions,"on-line course (6-8 weeks), 1 day online workshop, 1:1 tutoring",london
3/9/2015 14:24:40,I've forked a bl.ock or two,"For fun, For work, To get a job, To express myself","JavaScript, HTML, Adobe Illustrator, Excel, R","Portfolio site, Web application interface, Infographic",i++,its a sinh!,Principles!,stop-motion animation,"jQuery, Processing, AngularJS, Ember.js, Backbone.js",transitions,"on-line course (6-8 weeks), 1 day in person workshop",Oakland
3/9/2015 14:42:56,I looked at some examples!,For work,"JavaScript, HTML, CSS, Adobe Illustrator, Sketch App, Excel","Infographic, Visualization",i++,its a sinh!,Principles!,code,"jQuery, Processing",no idea,,
3/9/2015 14:43:44,"selectAll("".answers"").enter()","For fun, For work, To get a job, To express myself","HTML, Excel, Tableau, R, Python","Web application interface, Business intelligence, Infographic",No,SOHCAHTOA!,Principles!,pen & paper,,behaviors,on-line course (6-8 weeks),Madrid
3/9/2015 14:44:14,I've forked a bl.ock or two,"For fun, To get a job, To express myself","JavaScript, HTML, CSS, Matlab, R, Python","Portfolio site, Infographic",i++,SOHCAHTOA!,Nope,code,AngularJS,data binding,on-line course (6-8 weeks),Salt Lake City
3/9/2015 14:44:35,I've forked a bl.ock or two,"For fun, For work, To get a job, To express myself","JavaScript, HTML, CSS, Adobe Illustrator, Excel, R","Portfolio site, Web application interface, Business intelligence, Scientific explanation, Infographic",i++,something about angles right?,Principles!,R + ggplot2,"jQuery, ggplot2",reusable charts,"multi-day in person workshop, 1:1 tutoring","Portland, OR"
3/9/2015 14:46:31,I looked at some examples!,"For fun, For work, To get a job","HTML, CSS, R, Python","Scientific explanation, Infographic",i++,its a sinh!,Nope,code,"pandas, ggplot2",data binding,on-line course (6-8 weeks),Brussels
3/9/2015 14:47:05,"selectAll("".answers"").enter()","For fun, For work, To express myself","JavaScript, HTML, CSS, Excel, R, Python","Portfolio site, Web application interface, Infographic",i++,SOHCAHTOA!,Nope,code,"jQuery, AngularJS, React.js",behaviors,"1 day in person workshop, multi-day in person workshop",San Francisco
3/9/2015 14:48:24,I've forked a bl.ock or two,"For fun, For work","JavaScript, HTML, CSS, Adobe Illustrator, Excel","Portfolio site, Web application interface, Scientific explanation, Infographic",i++,its a sinh!,Principles!,code,jQuery,transitions,"on-line course (6-8 weeks), 1 day in person workshop, multi-day in person workshop, 1 day online workshop, 1:1 tutoring",San Francisco
3/9/2015 14:49:34,"selectAll("".answers"").enter()","For fun, To get a job","JavaScript, HTML, CSS, Python",Web application interface,i++,SOHCAHTOA!,Nope,code,"jQuery, AngularJS, Ember.js, Backbone.js",data binding,"on-line course (6-8 weeks), multi-day in person workshop",LA
3/9/2015 14:49:41,I've forked a bl.ock or two,"For fun, For work","JavaScript, HTML, CSS, Excel","Web application interface, Infographic",i++,something about angles right?,Nope,excel,jQuery,reusable charts,"on-line course (6-8 weeks), 1 day in person workshop",Providence
